photoshop_(medium),PS作品
unworn_eyewear,未戴眼镜
idolmaster_cinderella_girls_starlight_stage,偶像大师灰姑娘女孩星光舞台
gochuumon_wa_usagi_desu_ka?,请问您今天要来点兔子吗？
mega_man_(series),洛克人(系列)
link!_like!_love_live!,Link!Like!LoveLive!
project_sekai,世界计划
sousou_no_frieren,葬送的芙莉莲
source_smaller,来源图更小
weibo_watermark,微博水印
nazrin,纳兹琳
imageboard_desourced,图板去源
painttool_sai_(medium),SAI作品
on_one_knee,单膝跪地
limbus_company,边狱巴士
nijisanji_en,彩虹社EN
nier_(series),尼尔(系列)
fire_emblem_awakening,火焰纹章：觉醒
marvel,漫威
utau,UTAU
bleach,死神
textless_version,无字版
nervous_sweating,紧张流汗
male_penetrated,男性被插入
holding_own_hair,抓着头发
inkling_player_character,Inkling玩家角色
pink_hat,粉帽子
akagi_(kancolle),赤城(舰C)
saibou_shinkyoku,细胞神曲
shingeki_no_kyojin,进击的巨人
gotoh_hitori,后藤一里
spy_x_family,间谍过家家
pikachu,皮卡丘
source_larger,来源图更大
pokemon_dppt,宝可梦珍珠钻石
tokyo_afterschool_summoners,东京放课后召唤师
spreading_own_pussy,掰开私处
akemi_homura_(magical_girl),晓美焰(魔法少女)
nier:automata,尼尔：机械纪元
headscarf,头巾
real_life,现实
puff_of_air,叹气
danganronpa:_trigger_happy_havoc,枪弹辩驳：希望的学园与绝望的高中生
unworn_shoes,未穿鞋
black_sports_bra,黑色运动内衣
persona_5,女神异闻录5
sonic_(series),索尼克(系列)
same-sex_bathing,同性共浴
final_fantasy_vii_remake,最终幻想7重制版
drink_can,饮料罐
!!,
go-toubun_no_hanayome,五等分的新娘
bad_source,来源错误
higurashi_no_naku_koro_ni,寒蝉鸣泣之时
dungeon_meshi,迷宫饭
print_thighhighs,印花过膝袜
ikazuchi_(kancolle),雷(舰C)
rwby,RWBY
inkling_girl,Inkling女孩
stardust_crusaders,星尘斗士
doodle_sensei_(blue_archive),涂鸦老师(蔚蓝档案)
digimon,数码宝贝
dragon_ball_z,龙珠Z
persona_3,女神异闻录3
gardevoir,沙奈朵
dated_commentary,旧注释
lower_teeth_only,仅露下齿
umineko_no_naku_koro_ni,海猫鸣泣之时
rebuild_of_evangelion,通过福音战士新剧场版
floating_earring,漂浮耳环
purple_hat,紫帽子
akatsuki_(kancolle),晓(舰C)
superhero_costume,超级英雄服装
cube_hair_ornament,方块发饰
darkstalkers,恶魔战士
rozen_maiden,蔷薇少女
tsukihime,月姬
macross,超时空要塞
argyle_clothes,菱形花纹衣服
image_sample,样图
2b_(nier:automata),2B(尼尔：机械纪元)
half_up_braid,半扎辫子
pokemon_bw2,宝可梦黑白2
senki_zesshou_symphogear,战姬绝唱Symphogear
bang_dream!_it's_mygo!!!!!,BanG_Dream!_It's_MyGO!!!!!
kirby_(series),星之卡比(系列)
kamen_rider,假面骑士
nagato_(kancolle),长门(舰C)
toned_female,健美女性
monster_hunter_(series),怪物猎人(系列)
;o,
cloud_strife,克劳德·斯特莱夫
super_smash_bros.,任天堂明星大乱斗
official_alternate_hair_length,官方异色发长
trailblazer_(honkai:_star_rail),开拓者(崩坏：星穹铁道)
magia_record:_mahou_shoujo_madoka_magica_gaiden,魔法纪录：魔法少女小圆外传
reverse:1999,重返未来：1999
furina_(genshin_impact),芙宁娜(原神)
0_0,
producer_(idolmaster),制作人(偶像大师)
kaname_madoka_(magical_girl),鹿目圆(魔法少女)
smile_precure!,Smile光之美少女！
gundam_suisei_no_majo,机动战士高达：水星的魔女
maribel_hearn,玛莉贝尔·赫恩
content_rating,内容分级
promotional_art,宣传图
battle_tendency,战斗潮流
looking_at_object,注视物体
white_wrist_cuffs,白色手腕袖口
naruto,火影忍者
pokemon_xy,宝可梦XY
unworn_panties,未穿内裤
animal_ear_headphones,兽耳耳机
d:,
ninomae_ina'nis,一伊那尔栖
scathach_(fate),斯卡哈(Fate)
omori,OMORI
assault_lily,突击莉莉
tomoe_mami_(magical_girl),巴麻美(魔法少女)
yuudachi_kai_ni_(kancolle),夕立改二(舰C)
unworn_skirt,未穿裙子
fire_emblem_engage,火焰纹章：结合
vento_aureo,黄金之风
material_growth,材质生长
firefly_(honkai:_star_rail),流萤(崩坏：星穹铁道)
frieren,芙莉莲
the_legend_of_zelda:_breath_of_the_wild,塞尔达传说：荒野之息
nahida_(genshin_impact),纳西妲(原神)
red_eyeliner,红色眼线
patreon_reward,Patreon奖励
wuthering_waves,鸣潮
weibo_logo,微博Logo
trainer_(umamusume),训练员(赛马娘)
guilty_gear_strive,罪恶装备Strive
mandarin_collar,立领
cow_print_bikini,奶牛纹比基尼
idolmaster_million_live!_theater_days,偶像大师百万现场！剧场时光
swivel_chair,转椅
toki_(blue_archive),飞鸟马时(蔚蓝档案)
elden_ring,艾尔登法环
gakuen_idolmaster,学园偶像大师
xd,
houshou_(kancolle),凤翔(舰C)
miki_sayaka_(magical_girl),美树沙耶香(魔法少女)
mouse_(animal),老鼠
3:,
artistic_error,作画错误
two-tone_eyes,双色瞳
last_origin,Last_Origin
pretty_series,美妙系列
dc_comics,DC漫画
dawn_(pokemon),小光
onii-chan_wa_oshimai!,别当欧尼酱了！
notched_lapels,缺角翻领
joseph_joestar,乔瑟夫·乔斯达
to_heart_(series),ToHeart(系列)
holding_removed_eyewear,拿着摘下的眼镜
oshi_no_ko,我推的孩子
artist_collaboration,画师合作
commissioner_upload,约稿人上传
clip_studio_paint_(medium),优动漫Paint作品
bakemonogatari,化物语
see-through_cleavage,透视乳沟
nanashi_mumei,七诗无名
pokemon_hgss,宝可梦心金魂银
saki_(manga),天才麻将少女
ore_no_imouto_ga_konna_ni_kawaii_wake_ga_nai,我的妹妹哪有这么可爱！
helltaker,地狱把妹王
pokemon_legends:_arceus,宝可梦传说：阿尔宙斯
hololive_indonesia,Hololive印尼
print_pantyhose,印花连裤袜
makima_(chainsaw_man),玛奇玛(电锯人)
high_school_dxd,恶魔高校DxD
mixed-sex_bathing,男女混浴
making-of_available,有制作过程
pyra_(xenoblade),焰(异度神剑)
squeans,脸颊线条
on_grass,在草地上
heart-shaped_food,心形食物
unworn_clothes,未穿衣服
byleth_(fire_emblem),贝雷特(火焰纹章)
novel_illustration,小说插图
kobayashi-san_chi_no_maidragon,小林家的龙女仆
tojo_nozomi,东条希
ouro_kronii,Ouro_Kronii
gridman_universe,古立特宇宙
tiger_&_bunny,基友英雄传
kaito_(vocaloid),KAITO(Vocaloid)
eiyuu_densetsu,英雄传说
takanashi_kiara,小鸟游琪亚拉
aikatsu!_(series),偶活学园!(系列)
apex_legends,Apex英雄
ushio_(kancolle),潮(舰C)
idol_clothes,偶像服
kirby,卡比
splatoon_3,喷射战士3
yuru_yuri,摇曳百合
unconventional_maid,非传统女仆
carrying_person,抱着人
kujo_jotaro,空条承太郎
may_(pokemon),小遥
pixiv_fantasia,Pixiv幻想曲
axis_powers_hetalia,黑塔利亚
2000s_(style),2000年代(风格)
ensemble_stars!,偶像梦幻祭！
green_halo,绿光环
hasu_no_sora_school_uniform,莲之空校服
pokemon_masters_ex,宝可梦大师EX
ai-generated,AI生成
tassel_hair_ornament,流苏发饰
diagonal-striped_clothes,斜条纹衣服
shoukaku_(kancolle),翔鹤(舰C)
oma_kokichi,王马小吉
photo-referenced,参考照片
hard-translated,硬翻译
inazuma_eleven_go,闪电十一人GO
northern_ocean_princess,北方栖姬
medium_dress,中长裙
black_mask,黑口罩
green_gemstone,绿宝石
resident_evil,生化危机
warship_girls_r,战舰少女R
multiple_moles,多颗痣
grey_hat,灰帽子
two-tone_gloves,双色手套
rosa_(pokemon),鸣依
pokemon_oras,宝可梦红宝石蓝宝石复刻
one-punch_man,一拳超人
agnes_tachyon_(umamusume),爱丽速子(赛马娘)
aris_(blue_archive),爱丽丝(蔚蓝档案)
unworn_jacket,未穿夹克
akebono_(kancolle),曙(舰C)
beard_stubble,胡茬
sakura_kyoko_(magical_girl),佐仓杏子(魔法少女)
metroid,银河战士
cable_knit,绞花针织
mahou_shoujo_lyrical_nanoha_a's,魔法少女奈叶A's
mythra_(xenoblade),光(异度神剑)
joseph_joestar_(young),乔瑟夫·乔斯达(年轻)
cow_print_thighhighs,奶牛纹过膝袜
gold_earrings,金耳环
stelle_(honkai:_star_rail),星(崩坏：星穹铁道)
braided_hair_rings,编织发环
unworn_mask,未戴面具
hilda_(pokemon),透子
marnie_(pokemon),玛俐
to_love-ru,出包王女
diamond_wa_kudakenai,不灭钻石
animal_ear_piercing,兽耳耳环
gawr_gura_(1st_costume),Gawr_Gura(第一套服装)
cowlick,呆毛
three_quarter_view,四分之三侧面
bikini_bottom_aside,比基尼下装拨开
ace_attorney,逆转裁判
fox_boy,狐狸男孩
bike_shorts_under_skirt,裙下骑行裤
to_heart_2,ToHeart2
gilgamesh_(fate),吉尔伽美什(Fate)
little_busters!,Little_Busters!
median_furrow,正中沟
has_bad_revision,有糟糕的修改
white_horns,白角
kita_ikuyo,喜多郁代
nanashi_inc.,774_inc.
kisaki_(blue_archive),妃(蔚蓝档案)
kitakami_(kancolle),北上(舰C)
black_robe,黑长袍
nami_(one_piece),娜美(海贼王)
wing_hair_ornament,翅膀发饰
splatoon_1,喷射战士1
star_symbol_background,星形符号背景
ooyodo_(kancolle),大淀(舰C)
computer_keyboard,电脑键盘
gradient_clothes,渐变色衣服
the_legend_of_zelda:_tears_of_the_kingdom,塞尔达传说：王国之泪
wanderer_(genshin_impact),流浪者(原神)
darjeeling_(girls_und_panzer),大吉岭(少女与战车)
girls_band_cry,Girls_Band_Cry
earpiece,耳机
winged_arms,翼臂
vspo!,VSPO!
scene_reference,场景参考
nishikigi_chisato,锦木千束
naruto_shippuuden,火影忍者疾风传
kaguya-sama_wa_kokurasetai_~tensai-tachi_no_renai_zunousen~,辉夜大小姐想让我告白
black_rock_shooter,黑岩射手
holding_drink,拿着饮料
saihara_shuichi,最原终一
high-waist_shorts,高腰短裤
punishing:_gray_raven,战双帕弥什
watashi_ga_motenai_no_wa_dou_kangaetemo_omaera_ga_warui!,丧女
ebifurya,炸虾
grey_halo,灰光环
sidelighting,侧光
disgaea,魔界战记
pink_pupils,粉瞳孔
wolf_boy,狼男孩
rio_(blue_archive),里奥(蔚蓝档案)
mejiro_mcqueen_(umamusume),目白麦昆(赛马娘)
new_super_mario_bros._u_deluxe,新超级马力欧兄弟U豪华版
black_corset,黑色紧身胸衣
blue_overalls,蓝色背带裤
hunter_x_hunter,全职猎人
suletta_mercury,苏莱塔·墨丘利
macross_frontier,超时空要塞F
animal_ear_hairband,兽耳发箍
turning_head,转头
meiko_(vocaloid),MEIKO(Vocaloid)
one-piece_swimsuit_pull,拉扯连体泳衣
ssss.gridman,SSSS.GRIDMAN
blowing_bubbles,吹泡泡
sakamata_chloe,沙花叉克罗耶
gundam_seed,高达SEED
o-ring_choker,圆环项圈
darling_in_the_franxx,DARLING_in_the_FRANXX
mutsu_(kancolle),陆奥(舰C)
oozora_subaru,大空斯巴鲁
goth_fashion,哥特风
black_halo,黑光环
angel_beats!,Angel_Beats!
kafka_(honkai:_star_rail),卡芙卡(崩坏：星穹铁道)
dragon_boy,龙男孩
gold_ship_(umamusume),黄金船(赛马娘)
reference_inset,参考图嵌入
resized,调整大小
kaban_(kemono_friends),卡帮(兽娘动物园)
sitting_on_throne,坐在王座上
dio_brando,迪奥·布兰度
floating_clothes,漂浮衣服
2023,
queen's_blade,女皇之刃
assault_visor,突击面罩
dragon_print,龙纹
gloria_(pokemon),从云
dokidoki!_precure,心跳！光之美少女
morrigan_aensland,莫莉卡·安斯兰特
amagami,圣诞之吻
tatsuta_(kancolle),龙田(舰C)
kemono_friends_3,兽娘动物园3
female_admiral_(kancolle),女提督(舰C)
byleth_(female)_(fire_emblem),贝雷特(女)(火焰纹章)
diamond_button,菱形纽扣
american_flag_print,美国国旗印花
white_veil,白面纱
love_live!_superstar!!,LoveLive!Superstar!!
phantasy_star,梦幻之星
2022,
tekken,铁拳
teamwork_(sexual),合作(性)
hammer_(sunset_beach),Hammer(Sunset_Beach)
mushoku_tensei,无职转生
fern_(sousou_no_frieren),菲伦(葬送的芙莉莲)
manhattan_cafe_(umamusume),曼哈顿咖啡(赛马娘)
grid_background,网格背景
fatal_fury,饿狼传说
eye_mask,眼罩
off-topic,离题
red_armband,红袖章
galaga,大蜜蜂
ranma_1/2,乱马1/2
splatoon_2,喷射战士2
text_background,文字背景
heartcatch_precure!,HeartCatch光之美少女！
loose_hair_strand,散发
hk416_(girls'_frontline),HK416(少女前线)
dungeon_ni_deai_wo_motomeru_no_wa_machigatteiru_darou_ka,在地下城寻求邂逅是否搞错了什么
mahou_shoujo_madoka_magica:_hangyaku_no_monogatari,魔法少女小圆：叛逆的物语
flower_wreath,花环
ancient_egyptian,古埃及
yellow_pupils,黄瞳孔
okobo,厚底木屐
ooi_(kancolle),大井(舰C)
aqua_bowtie,水蓝领结
??,
fire_emblem:_the_blazing_blade,火焰纹章：烈火之剑
akashi_(kancolle),明石(舰C)
grey_socks,灰袜子
blue_fur,蓝毛
twisted_wonderland,迪士尼扭曲仙境
pom_pom_hair_ornament,毛球发饰
biting_own_lip,咬嘴唇
in-franchise_crossover,系列内交叉
cynthia_(pokemon),竹兰
son_goku,孙悟空
flower_knight_girl,花骑士
transformers,变形金刚
aikatsu!,偶活学园！
koha-ace,帝都圣杯奇谭
caesar_anthonio_zeppeli,西撒·安东尼奥·齐贝林
dragon_ball_super,龙珠超
touqi_guaitan,偷其怪谭
non-humanoid_robot,非人形机器人
small_horns,小角
anya_(spy_x_family),阿尼亚(间谍过家家)
ash_ketchum,小智
kagerou_project,阳炎计划
sono_bisque_doll_wa_koi_wo_suru,更衣人偶坠入爱河
miorine_rembran,米奥莉奈·伦布兰
yellow_cardigan,黄开衫
boo_tao_(genshin_impact),幽幽(原神)
houshou_marine_(1st_costume),宝钟玛琳(第一套服装)
very_sweaty,大汗淋漓
cow_print_gloves,奶牛纹手套
puzzle_&_dragons,智龙迷城
pripara,美妙天堂
diagonal-striped_necktie,斜条纹领带
ijichi_nijika,伊地知虹夏
shishiro_botan,狮白牡丹
gloved_handjob,戴手套手淫
brown_horns,棕角
yoko_littner,优子
sazanami_(kancolle),涟(舰C)
bikini_top_lift,掀起比基尼上装
4-finger_heart_hands,四指比心
okita_souji_(koha-ace),冲田总司(帝都圣杯奇谭)
collared_coat,翻领外套
holding_leash,拿着牵引绳
acheron_(honkai:_star_rail),黄泉(崩坏：星穹铁道)
souryuu_(kancolle),苍龙(舰C)
undertale,传说之下
pawpads,肉垫
a.i._voice,A.I.VOICE
inoue_takina,井之上泷奈
osomatsu_(series),阿松(系列)
red_(pokemon),赤红
frilled_one-piece_swimsuit,荷叶边连体泳衣
sanrio,三丽鸥
rabbit_pose,兔子姿势
monster_girl_encyclopedia,魔物娘图鉴
animal_crossing,动物森友会
corrupted_twitter_file,损坏的推特文件
tokai_teio_(umamusume),东海帝王(赛马娘)
yellow_hat,黄帽子
holostars,Holostars
two-sided_cape,双面披风
guilty_gear_xrd,罪恶装备Xrd
samidare_(kancolle),五月雨(舰C)
stone_ocean,石之海
2021,
inverted_bob,内扣波波头
letty_whiterock,蕾蒂·霍瓦特洛克
kosaka_honoka,高坂穗乃果
yamashiro_(kancolle),山城(舰C)
power_(chainsaw_man),帕瓦(电锯人)
single_ear_cover,单耳罩
hand_on_another's_thigh,手放在别人大腿上
houseki_no_kuni,宝石之国
monkey_d._luffy,蒙奇·D·路飞
spider-man_(series),蜘蛛侠(系列)
elysia_(honkai_impact),爱莉希雅(崩坏3)
super_robot_wars,超级机器人大战
unworn_bra,未穿胸罩
twitter_logo,推特Logo
pokemon_frlg,宝可梦火红叶绿
sleeveless_sweater,无袖毛衣
iowa_(kancolle),衣阿华(舰C)
high-waist_pants,高腰裤
2024,
chest_belt,胸带
parted_hair,分发
mario,马力欧
kasumi_(kancolle),霞(舰C)
skullgirls,骷髅女孩
gintama,银魂
drill_sidelocks,钻头鬓角
mixed-language_text,混合语言文本
hiei_(kancolle),比睿(舰C)
magazine_scan,杂志扫描
people,人
plana_(blue_archive),普拉娜(蔚蓝档案)
holding_controller,拿着手柄
monster_musume_no_iru_nichijou,魔物娘的同居日常
cross_scar,十字伤疤
green_sleeves,绿袖子
cammy_white,嘉米·怀特
yurucamp,摇曳露营
osomatsu-san,阿松
ro-500_(kancolle),吕500(舰C)
fire_emblem:_genealogy_of_the_holy_war,火焰纹章：圣战之系谱
tucking_hair,撩头发
two-tone_swimsuit,双色泳衣
red_socks,红袜子
two-sided_jacket,双面夹克
;q,
eevee,伊布
steins;gate,命运石之门
toki_(bunny)_(blue_archive),飞鸟马时(兔女郎)(蔚蓝档案)
len'en,连缘
golden_kamuy,黄金神威
brown_sweater_vest,棕色毛背心
nitroplus,Nitro+
pixiv_sample,Pixiv样图
thigh_belt,大腿带
black_sash,黑腰带
yahari_ore_no_seishun_lovecome_wa_machigatteiru.,我的青春恋爱物语果然有问题
kingdom_hearts,王国之心
jirai_kei,地雷系
two-tone_bow,双色蝴蝶结
black_leggings,黑作为打底裤
on_bench,在长椅上
grey_fur,灰毛
phantasy_star_online_2,梦幻之星Online2
colored_extremities,肢体末端染色
verniy_(kancolle),响(舰C)
puyopuyo,ぷよぷよ
hakos_baelz,Hakos_Baelz
march_7th_(honkai:_star_rail),三月七(崩坏：星穹铁道)
serena_(pokemon),莎莉娜
wiffle_gag,网球口塞
itomugi-kun,小麦君
narrowed_eyes,眯眼
kamitsubaki_studio,神椿工作室
deformed,变形
mirko,美尔科
octoling_player_character,章鱼娘玩家角色
fu_hua,符华
ceres_fauna,Ceres_Fauna
foot_up,翘脚
street_fighter_6,街头霸王6
exercising,锻炼
holding_hammer,拿着锤子
multi-strapped_bikini_bottom,多带比基尼下装
ellen_joe,艾伦·乔
mecha_focus,机甲聚焦
evolutionary_line,进化链
little_witch_academia,小魔女学园
denji_(chainsaw_man),电次(电锯人)
single_pauldron,单肩甲
snk,SNK
inazuma_eleven,闪电十一人
facing_to_the_side,侧身
short_bangs,短刘海
santa_dress,圣诞裙
yamada_ryo,山田凉
corrin_(fire_emblem),神威(火焰纹章)
fire_emblem:_radiant_dawn,火焰纹章：晓之女神
long_hair_between_eyes,眼间长发
gold_bracelet,金手镯
ex-keine,上白泽慧音(EX)
lucina_(fire_emblem),露琪娜(火焰纹章)
uraraka_ochaco,丽日御茶子
stomach_cutout,腹部镂空
mizuki_hitoshi,水木
reflective_water,反光水面
djeeta_(granblue_fantasy),吉塔(碧蓝幻想)
selene_(pokemon),美月
kouji_(campus_life),浩司
yuubari_(kancolle),夕张(舰C)
e.g.o_(project_moon),E.G.O(月亮计划)
strapless_shirt,无肩带衬衫
kemono_friends_v_project,兽娘动物园V计划
xenoblade_chronicles_3,异度神剑3
scar_on_forehead,额头伤疤
basketball_(object),篮球(物体)
library_of_ruina,废墟图书馆
fire_emblem:_mystery_of_the_emblem,火焰纹章：纹章之谜
silence_suzuka_(umamusume),无声铃鹿(赛马娘)
twirling_hair,卷头发
karyl_(princess_connect!),凯露(公主连结)
looking_over_eyewear,从眼镜上方看
hand_on_another's_waist,手放在别人腰上
nico_robin,妮可·罗宾
machikado_mazoku,街角魔族
notched_ear,缺耳
needy_girl_overdose,主播女孩重度依赖
marcille_donato,玛希莱·多纳托
noa_(blue_archive),诺亚(蔚蓝档案)
tracen_training_uniform,特雷森训练服
kiso_(kancolle),木曾(舰C)
idolmaster_side-m,偶像大师SideM
dark_souls_(series),黑暗之魂(系列)
qingdai_guanmao,清代官帽
white_sports_bra,白色运动内衣
os-tan,OS娘
black_undershirt,黑色打底衫
alt_text,替换文本
u_u,
purple_halo,紫光环
matching_outfits,情侣装
atelier_ryza,莱莎的炼金工房
multicolored_swimsuit,多色泳衣
head_grab,抓头
hiryuu_(kancolle),飞龙(舰C)
red-tinted_eyewear,红色眼镜
hatsutori_hajime,初鸟创
grey_horns,灰角
dungeon_and_fighter,地下城与勇士
tiger_boy,虎男孩
suite_precure,Suite光之美少女♪
sphere_earrings,球形耳环
phantom_blood,幻影之血
usada_pekora_(1st_costume),想田佩克拉(第一套服装)
pokemon_rse,宝可梦红蓝绿宝石
cosmetics,化妆品
roronoa_zoro,罗罗诺亚·索隆
:i,
alice_in_wonderland,爱丽丝梦游仙境
shiranui_flare,不知火芙蕾雅
nipple_bar,乳头环
kodomo_doushi,孩子之间
gundam_build_fighters,高达创战者
idolmaster_1,偶像大师1
gojou_satoru,五条悟
center-flap_bangs,中分刘海
adachi_rei,足立Rei
edelgard_von_hresvelg,艾黛尔贾特
o-ring_thigh_strap,圆环大腿带
yaegashi_nan,八重樫南
toradora!,龙与虎
the_legend_of_zelda:_twilight_princess,塞尔达传说：黄昏公主
procreate_(medium),Procreate作品
baobhan_sith_(fate),芭万·希(Fate)
lifting_another's_clothes,掀起别人的衣服
high_side_ponytail,高侧马尾
rabbit_print,兔子印花
graf_zeppelin_(kancolle),齐柏林伯爵(舰C)
unworn_helmet,未戴头盔
blue_apron,蓝围裙
lily_white,莉莉怀特
made_in_abyss,来自深渊
iseri_nina,井芹仁菜
ancient_egyptian_clothes,古埃及服装
pink_bag,粉包
skin_fangs,小虎牙
pokemon_adventures,特别篇
lobotomy_corporation,脑叶公司
orange-tinted_eyewear,橙色眼镜
thick_arms,粗手臂
nontraditional_playboy_bunny,非传统兔女郎
red_hoodie,红卫衣
kanon_(kurogane_knights),花音
sailor_moon,美少女战士
gegege_no_kitarou,鬼太郎
iono_(pokemon),奇树
kanna_(blue_archive),甘娜(蔚蓝档案)
head_on_pillow,头枕枕头
vshojo,VShake
hugging_doll,抱着玩偶
disposable_coffee_cup,一次性咖啡杯
red_bag,红包
brown_capelet,棕披肩
kyon,阿虚
taimanin_(series),对魔忍(系列)
ruu_(tksymkw),Ruu
sonic_the_hedgehog,刺猬索尼克
dungeons_&_dragons,龙与地下城
frilled_socks,荷叶边袜子
sparkle_(honkai:_star_rail),花火(崩坏：星穹铁道)
animal_ear_headwear,兽耳头饰
plaid_bowtie,格子领结
blue_sash,蓝腰带
romper,连体裤
eromanga_sensei,埃罗芒阿老师
holding_handheld_game_console,拿着掌机
cone_horns,锥形角
nijigasaki_school_uniform,虹咲校服
hestia_(danmachi),赫斯缇雅(地错)
covering_own_eyes,遮眼
shingeki_no_bahamut,巴哈姆特之怒
kiryu_coco,桐生可可
mega_man_(classic),洛克人(元祖)
squirrel_girl,松鼠娘
holding_clipboard,拿着写字板
asticassia_school_uniform,阿斯提卡西亚校服
holding_baseball_bat,拿着棒球棍
kal'tsit_(arknights),凯尔希(明日方舟)
stocking_(psg),Stocking(吊带袜天使)
>_o,
pendant_choker,吊坠项圈
bowsette,库巴姬
heart-shaped_pillow,心形枕头
misty_(pokemon),小霞
feather_earrings,羽毛耳环
computer_mouse,电脑鼠标
cracked_skin,皮肤裂纹
steel_ball_run,飙马野郎
hinoshita_kaho,日下部花帆
2020,
very_long_sleeves,超长袖
white_bag,白包
zuihou_(kancolle),瑞凤(舰C)
arlecchino_(genshin_impact),阿蕾奇诺(原神)
gold_bikini,金比基尼
infinite_stratos,无限斯特拉托斯
green_hoodie,绿卫衣
naganami_(kancolle),长波(舰C)
unworn_shirt,未穿衬衫
panty_straps,内裤带
white_tail,白尾巴
cellphone_photo,手机照片
fire_emblem:_path_of_radiance,火焰纹章：苍炎之轨迹
aqua_neckerchief,水蓝领巾
naka_(kancolle),那珂(舰C)
turtleneck_dress,高领裙
mechabare,机甲暴露
star_halo,星光环
clothing_request,服装请求
bronya_zaychik,布洛妮娅·扎伊切克
zombie_land_saga,佐贺偶像是传奇
cyberpunk_(series),赛博朋克(系列)
kaedehara_kazuha,枫原万叶
borrowed_clothes,借来的衣服
purple_gemstone,紫宝石
tokusatsu,特摄
character_hair_ornament,角色发饰
fujishima_megumi,藤岛惠
star_wars,星球大战
star_ocean,星之海洋
fire_emblem:_the_binding_blade,火焰纹章：封印之剑
hand_on_own_leg,手放在腿上
orange_neckerchief,橙领巾
final_fantasy_xi,最终幻想11
drawing_(object),画(物体)
nice_nature_(umamusume),优秀素质(赛马娘)
bread_slice,面包片
onee-loli,御姐萝莉
kisume,钓瓶落
meitantei_conan,名侦探柯南
kieran_(pokemon),丹瑜
kid_icarus,光神话
chihaya_anon,千早爱音
bemani,BEMANI
hand_on_another's_ass,手放在别人屁股上
uzumaki_naruto,漩涡鸣人
metal_gear_(series),合金装备(系列)
holding_popsicle,拿着冰棍
full_beard,络腮胡
chest_strap,胸带
kirigiri_kyoko,雾切响子
mobile_suit_gundam,机动战士高达
akamatsu_kaede,赤松枫
holding_lantern,拿着灯笼
yuuki_makoto_(persona_3),结城理(女神异闻录3)
monster_hunter_(character),怪物猎人(角色)
kujo_jolyne,空条徐伦
fairy_(kancolle),妖精(舰C)
grey-framed_eyewear,灰框眼镜
