toy_gun,玩具枪
stalactite,钟乳石
amai_nekuta,Amai_Nekuta
vento,前方之风
giant_tree,巨树
fly_(marguerite),Fly
tomo-chan_wa_onna_no_ko,智酱是女生
lasso,套索
koahri,Koahri
asakura_rikako,朝仓理香子
buruma_around_one_leg,单腿体操服
stuffed_eggplant,茄子玩偶
falkyrie_no_monshou,Falkyrie_No_Monshou
satori_(aosky9077),Satori
sou_(tuhut),Sou
shimhaq,Simhaq
yuyu_(00365676),Yuyu
asazuki_norito,Asazuki_Norito
jp06,Jp06
mamyouda,Mamyouda
jaku_sono,Jaku_Sono
nakasone_haiji,Nakasone_Haiji
miyamoto_musashi_(second_ascension)_(fate),宫本武藏(二破)(Fate)
yude,Yude
igni_tion,Igni_tion
watermelon_hair_ornament,西瓜发饰
straylight_(idolmaster),Straylight(偶像大师)
koyanskaya_(chinese_lostbelt_outfit)_(fate),高扬斯卡娅(中国异闻带服装)(Fate)
gattai,合体
sushang_(honkai:_star_rail),素裳(崩坏：星穹铁道)
wet_legwear,湿腿饰
stella_unibell,Stella_Unibell
locke_cole,洛克·科尔
sashizume_soutarou,指爪草太郎
gyozanuko,Gyozanuko
bobobo-bo_bo-bobo,鼻毛真拳
chris_(konosuba),克里斯(为美好的世界献上祝福)
boy_and_girl_sandwich,男女夹击
blowing_whistle,吹哨子
fujimaru_ritsuka_(male)_(decisive_battle_chaldea_uniform),藤丸立香(男)(决战迦勒底制服)
rope_marks,绳痕
artorias_the_abysswalker,深渊漫步者亚尔特留斯
block_(minecraft),方块(我的世界)
raiden_mei_(herrscher_of_origin),雷电芽衣(始源之律者)
nobori,Nobori
daiwa_scarlet_(trifle_vacation)_(umamusume),大和赤骥(Trifle_Vacation)(赛马娘)
tnr_(horiko1525),Tnr
ghetsis_(pokemon),魁奇思
wizard_(ragnarok_online),巫师(仙境传说)
ferrari,法拉利
huu_(dighapdlxm12),Huu
q_(ed69),Q
jamie_siu,杰米·肖
donmin_h,Donmin_H
fluegel_(gumi710),Fluegel
seiken_gakuin_no_maken_tsukai,圣剑学院的魔剑使
hirowa_nagi,Hirowa_Nagi
pumpkinpan,Pumpkinpan
kushima_kamome,久岛鸥
katwo,Katwo
shiwa_(siwaa0419),Shiwa
modernia_(nikke),神罚(妮姬)
mayo_(becky2006),Mayo
anteater_ears,食蚁兽耳
taro_(tontaro),Taro
yewang19,Yewang19
wiccan,巫术
ogata_tei,Ogata_Tei
non_(nuebako),Non
savannah,萨凡纳
hinami047,Hinami047
konan_(naruto),小南(火影忍者)
the_yuudachi-like_creature,夕立样生物
jonouchi_katsuya,城之内克也
oosuki_mamako,大好真真子
bob_(biyonbiyon),Bob
sorakado_ao,空门苍
sacraneco,Sacraneco
kuroba_rapid,Kuroba_Rapid
charlemagne_(fate),查理曼(Fate)
koseki_reina,古贺蕾娜
asatsuki_(fgfff),Asatsuki
polteageist,怖思壶
rapunzel_(disney),长发公主(迪士尼)
cure_lemonade,Cure_Lemonade
toy-black,Toy-black
mortis_(bang_dream!),Mortis(BanG_Dream!)
gebura_(project_moon),Gebura(月亮计划)
tamu_(mad_works),Tamu
drifting,漂移
naked_belt,裸体腰带
maxie_(pokemon),赤焰松
two-tone_capelet,双色短披肩
swaying,摇摆
ruteko_(ruko220),Ruteko
neutral_chao,中立查奥
ri_(qrcode),Ri
ah-lyong_lee,李雅龙
garlic,大蒜
nodachi_(artist),Nodachi
onineko,Onineko
hiroki_ree,Hiroki_Ree
gold_horns,金角
yamato_koara,Yamato_Koara
spiral_staircase,螺旋楼梯
crab_on_head,头顶螃蟹
van_arkride,Van_Arkride
tarmo,Tarmo
death_note_(object),死亡笔记(物品)
nicky_w,Nicky_W
tehepero,吐舌卖萌
coffret_(heartcatch_precure!),Coffret(抓心光之美少女)
doushi_tatsu_to_dekkai_no,Doushi_Tatsu_To_Dekkai_No
inflatable_armbands,充气臂环
jax_(the_amazing_digital_circus),Jax(神奇数字马戏团)
kurotsuchi_nemu,涅音梦
nanjo_hikaru,南条光
eye_beam,眼波
pomelomelon,Pomelomelon
saionji_mary,西园寺玛丽
teoi_(good_chaos),Teoi
augustine_sycamore,布拉塔诺
kyatapi_land,Kyatapi_Land
alban_knox,Alban_Knox
peach_maki,碧琪·玛姬
pet_shaming,宠物羞辱
tof,Tof
kira_tsubasa,绮罗翼
tsurugi_hagane,钢剑
murasaki_shikibu_(swimsuit_rider)_(fate),紫式部(泳装Rider)(Fate)
rags,破布
machigami_yoh,Machigami_Yoh
meitoro,Meitoro
ishida_aya,石田亚娅
penny_polendina,佩妮·波伦迪纳
corviknight,钢铠鸦
removing_mask,摘面具
shirt_under_sweater,毛衣里穿衬衫
jewelry_bonney,乔艾莉·波妮
implied_prostitution,暗示卖淫
holding_trophy,拿着奖杯
kaneko_ryou,金子良
ichinomiya_(blantte),Ichinomiya
miyu_edelfelt_(beast_style),美游·艾德费尔特(野兽风格)
presenting_another,展示别人
pokimari,Pokimari
sakuna-hime,佐久名姬
snow_white_and_the_seven_dwarfs,白雪公主和七个小矮人
beni-enma_(first_ascension),红阎魔(一破)
sakura_miko_(old_design),樱巫女(旧设)
aoyama_sumika,青山澄香
penetration_through_clothes,隔衣插入
floral_arch,花拱门
henyaan_(oreizm),Henyaan
nimura_yuuji,Nimura_Yuuji
miyuki_ruria,Miyuki_Ruria
asterios_(fate),阿斯忒里俄斯(Fate)
kokutou_mikiya,黑桐干也
anyamal_tantei_kirumin_zoo,动物侦探
randou,Randou
chomikuplus,Chomikuplus
milk_(yes!_precure_5),米露(Yes!光之美少女5)
cross-laced_sandals,交叉系带凉鞋
sanbaka_(nijisanji),Sanbaka(彩虹社)
merlin_(fate/prototype)_(second_ascension),梅林(Fate/Prototype)(二破)
yuma_kokohead,Yuma_Kokohead
nada_haruka,名田春香
cure_mint,Cure_Mint
babywearing,背婴儿
musshu_(omu001),Musshu
k-project,K-Project
nerine,奈莉奈
hijiki_(hijikini),Hijiki
matching_hairstyle,情侣发型
sen_no_kiseki_ii,闪之轨迹2
amogan,Amogan
sawachika_eri,泽近爱理
aihara_mei,蓝原芽衣
forte_stollen,芙特·斯托伦
toki_wo_kakeru_shoujo,穿越时空的少女
nagomi_(mokatitk),Nagomi
zhibuji_loom,Zhibuji_Loom
chicken_nuggets,鸡块
see-through_gloves,透明手套
rpg-7,RPG-7
tsuji_kazuho,辻一穗
buggy_the_clown,小丑巴基
rope_around_neck,绳子绕颈
glimmer_(xenoblade),Glimmer(异度神剑)
frilled_bonnet,荷叶边软帽
fujima_sakura,藤间樱
komainu_tail,狛犬尾巴
mizuno_kurage,水野水母
odd_taxi,奇巧计程车
lethe_(fire_emblem),莱伊(火焰纹章)
chi-hatan_school_uniform,知波单校服
akebi_komichi,明日小路
shichirin,七轮
hrothgar,哈斯加
zeta_(summer)_(granblue_fantasy),组织(泳装)(碧蓝幻想)
cammy_white_(cosplay),嘉米(Cosplay)
video_call,视频通话
ender_lilies_quietus_of_the_knights,终焉之莉莉：骑士寂夜
takeyuu,Takeyuu
yonekura_hisaki,米仓久喜
apple_hair_ornament,苹果发饰
dress_aside,掀裙子
sexual_exercising,性爱运动
kokukyukeo,Kokukyukeo
sussurro_(summer_flower)_(arknights),絮语(夏卉)(明日方舟)
superb_bird-of-paradise_(kemono_friends),华美极乐鸟(兽娘动物园)
aihara_yuzu,蓝原柚子
izuoku,Izuoku
harihisa,Harihisa
fubuki_(spring_mode)_(kancolle),吹雪(春季模式)(舰C)
eredhen,Eredhen
gundou_mirei,郡道美玲
asada_shino,朝田诗乃
sumisaki_yuzuna,墨咲由筑奈
emaciated,消瘦
summer_wars,夏日大作战
fu_hua_(night_squire),符华(白夜执事)
narumiya_yume,成宫由爱
jikuno,Jikuno
umiroku,Umiroku
gatau,Gatau
kyouno_madoka,京乃圆
ame_(uten_cancel),Ame
akashiya_moka,赤夜萌香
hiramedousa,Hiramedousa
uchuu_no_stellvia,宇宙的斯特拉维亚
hjl,Hjl
boyaking,Boyaking
tridisart,Tridisart
money_bag,钱袋
tatsunami_youtoku,辰波要德
black_stripes,黑条纹
ouhara_lolong,大原罗隆
eruu_(eruuman),Eruu
fi_(zelda),法伊(塞尔达)
tajikarao_(housamo),Tajikarao(Housamo)
kitada_mo,Kitada_Mo
flick,弹指
suzume_inui,乾斯兹梅
sana_(37pisana),Sana
gins,Gins
diagonal-striped_shirt,斜条纹衬衫
rafaelaaa,Rafaelaaa
jack_(playing_card),J(扑克牌)
tramp_stamp,腰部纹身
ushio_kai_ni_(kancolle),潮改二(舰C)
bay_(nikke),贝伊(妮姬)
holding_oar,拿着桨
nakigitsune,鸣狐
chikuwa_savy,Chikuwa_Savy
fan_screaming_at_madison_beer_(meme),粉丝对Madison_Beer尖叫(梗)
ero_kaeru,色青蛙
mejiro_mcqueen_(ripple_fairlady)_(umamusume),目白麦昆(Ripple_Fairlady)(赛马娘)
mona_(warioware),莫娜(瓦里奥制造)
krokobyaka,Krokobyaka
tsu_(lovesick1964),Tsu
galarian_ponyta,伽勒尔小火马
doritos,多力多滋
t_t,T_T
incense_burner,香炉
syatey,Syatey
planetarian,星之梦
marvel_rivals,漫威争锋
luxury_ball,豪华球
rainbow_flag,彩虹旗
kuma-bound,Kuma-bound
connie_springer,康尼·斯普林格
haruna_(2016_swimsuit_mode)_(kancolle),榛名(2016泳装模式)(舰C)
doppel_(bonnypir),Doppel
prydwen_(fate),Prydwen(Fate)
raspberyl,拉斯贝利尔
piston,活塞
tales_of_the_rays,光之传说
nonbire,Nonbire
ohitashi_netsurou,Ohitashi_Netsurou
naoki_miki,直树美纪
namidame,泪目
marimo_(yousei_ranbu),Marimo
sith,Sith
mitsunara,Mitsunara
isse,Isse
kittan_bachika,基坦
oktoberfest,慕尼黑啤酒节
sandstar,Sandstar
ichigo_100_percent,草莓100%
emori_miku,Emori_Miku
klavier_gavin,牙琉响也
enma_(enmanuelart),Enma
abe_yoshitoshi,安倍吉俊
kamimiya,Kamimiya
saitou_(lynx-shrike),Saitou
hori_masayuki,掘政行
chounorin,Chounorin
guarana_antarctica,瓜拉纳南极洲
masaru.jp,Masaru.jp
johan_(johan13),Johan
kaede_(yumesaki_kaede),Kaede
sanari_(quarter_iceshop),Sanari
raccoon_boy,浣熊男孩
cheytac_m200,CheyTac_M200
thumbnail_collage,缩略图拼贴
psylocke,灵蝶
dizzy,Dizzy
shi_chimi,Shi_Chimi
common_bottlenose_dolphin_(kemono_friends),宽吻海豚(兽娘动物园)
ia_(ias1010),Ia
cai_geng,Cai_Geng
obi-wan_kenobi,欧比旺·克诺比
super_mario_rpg,超级马里奥RPG
railroad_signal,铁路信号灯
togedemaru,托戈德玛尔
nattou,纳豆
asahina_hiyori,朝比奈日和
male_lactation,男性泌乳
unagi_(kobucha_blaster),Unagi
yoon_(dmsco1803),Yoon
sebu_illust,Sebu_Illust
covered_piercing,遮住的穿孔
hat_kid,戴帽小子
akakura,Akakura
ludger_will_kresnik,路德格尔·威尔·库鲁斯尼克
mother_(yoru_mac),Mother
re_(re_09),Re
image_macro_(meme),表情包(梗)
morinaga_miki,森永美季
hulkling,小浩克
gardening,园艺
ishihara_masumi,石原真澄
green_innertube,绿泳圈
fellatrix,Fellatrix
my_dear_vampire_(idolmaster),My_Dear_Vampire(偶像大师)
yaia_(granblue_fantasy),雅雅(碧蓝幻想)
deemo,Deemo
knife_in_head,头插刀
repede_(tales),拉皮特(传说)
owa_(ishtail),Owa
tarachine,Tarachine
hand_on_another's_mouth,手捂别人的嘴
kihara_tsumugu,木原纺
nikaidou_(dorohedoro),二阶堂(狄铎)
gypsy_(ragnarok_online),吉普赛女郎(仙境传说)
momohime,百姬
oricorio,花舞鸟
tanuki_(ame_to_kimi_to),狸猫(雨和你)
hori_shin,Hori_Shin
atsushi_(aaa-bbb),Atsushi
sabotender,仙人掌怪
pile,Pile
ryuugamine_mikado,龙之峰帝人
moroboshi_ataru,诸星当
mihama_junior_high_school_uniform,美滨初中校服
baobhan_sith_(second_ascension)_(fate),芭万·希(二破)(Fate)
kaleido_star,百变之星
kaneni,Kaneni
gondola,贡多拉
tunamayo_(dsasd751),Tunamayo
purrloin,扒手猫
ichimegasa,市女笠
yellow_shawl,黄披肩
grimmjow_jaegerjaquez,葛力姆乔·贾卡杰克
kyaku_tasu,Kyaku_Tasu
seseren,Seseren
uki_violeta,Uki_Violeta
ombok_diving_and_delivery_services,Ombok_Diving_and_Delivery_Services
ireading,Ireading
makimura_shunsuke,槙村俊介
rocking_chair,摇椅
holding_bento,拿着便当
mine_(weapon),地雷(武器)
hiiragi_shinoa,柊筱娅
luviagelita_edelfelt,露维亚瑟琳塔·艾德费尔特
frog_headband,青蛙头带
princess_leia,莱娅公主
barghest_(swimsuit_archer)_(fate),巴格斯特(泳装Archer)(Fate)
ndtwofives,Ndtwofives
hakuryou_high_school_uniform,白陵高中校服
tomoo_(tomo),Tomoo
valley,山谷
stance_(vehicle),姿态(车辆)
beef,牛肉
kirito_(sao-alo),桐人(ALO)
jadf,Jadf
honolulu_(umbrella_girl)_(azur_lane),火奴鲁鲁(撑伞女孩)(碧蓝航线)
perroccino_(fuwamoco),Perroccino
fat_pikachu,胖皮卡丘
kakine_teitoku,Kakine_Teitoku
kida_masaomi,纪田正臣
gag_around_neck,口球挂脖子上
nam_(valckiry),Nam
enosan,Enosan
kamiyama_aya,神山亚也
yoruhachi,Yoruhachi
ayunda_risu_(1st_costume),Ayunda_Risu(第一套服装)
peanut,花生
kimetsu_gakuen,鬼灭学园
minato_tomoka,凑智花
mogskg,Mogskg
kaiten_muten-maru,Kaiten_Muten-Maru
gurimjang,Gurimjang
totoki86,Totoki86
vashperado,Vashperado
sky_striker_ace_-_raye,闪刀姬-零
uni_(plastic_girl),Uni
star_cutout,星星镂空
k2_(girls'_frontline),K2(少女前线)
teletha_testarossa,泰莎·泰斯塔罗莎
nidai_nekomaru,二大猫丸
tonami_kanji,Tonami_Kanji
uumaru,Uumaru
kitano_(kitanosnowwhite),Kitano
rokudenashi_majutsu_koushi_to_akashic_record,不正经的魔术讲师与禁忌教典
lala_tramont,拉拉
animage,Animage
protean_assassin_melona,千变刺客梅罗娜
safi,Safi
ashita_(2010),Ashita
trusty_bell,Trusty_Bell
rough_time_school_(idolmaster),Rough_Time_School(偶像大师)
sanshita,Sanshita
yuuhi_riri,夕阳莉莉
nyori,Nyori
mochiya_marosuke,Mochiya_Marosuke
emanon123,Emanon123
heather_mason,希瑟·梅森
oppai_mochi,Oppai_Mochi
kefla_(dragon_ball),凯夫拉(龙珠)
removing_glove,摘手套
unapoppo,Unapoppo
nago_purin,Nago_Purin
hakui_ami,Hakui_Ami
henreader,Henreader
kurororo_rororo,Kurororo_Rororo
gearous,Gearous
suzumiya_haruhi_(cosplay),凉宫春日(Cosplay)
red_ribbon_army,红缎带军团
rikka_(holostars),律可(Holostars)
meng_ziya,孟子亚
blind_girl_(popopoka),盲眼女孩(Popopoka)
hyakkimaru_(dororo),百鬼丸(多罗罗)
black_unitard,黑连体衣
fatal_frame_2,零：红蝶
yusa_(angel_beats!),游佐
doxy,Doxy
chowbie,Chowbie
muscle_car,肌肉车
ralsei,Ralsei
lazyartlazy12,Lazyartlazy12
veiny_thighs,青筋大腿
jairou,Jairou
waffle_cone,华夫筒
two-sided_gloves,双面手套
zenrakishi,Zenrakishi
daybit_sem_void,戴比特·泽姆·沃伊德
negi_(ulog'be),Negi
serizawa_chikaru,芹泽千佳
yuzuriha_(active_homing),Yuzuriha
king_of_prism,King_of_Prism
ara_ara,阿拉阿拉
oni_costume,鬼装
scryed,分身战士
wanderer_(ragnarok_online),流浪者(仙境传说)
vivid_strike!,Vivid_Strike!
courreges_ace,Courreges_Ace
yuuyuu_(yuuki1771),Yuuyuu
tomato_rice,番茄饭
angelina_(summer_flower)_(arknights),安洁莉娜(夏卉)(明日方舟)
shimure_(460),Shimure
sogaya,Sogaya
kuzu_suzumi,Kuzu_Suzumi
kamee_(kamee_f),Kamee
norakura_(nr_kura),Norakura
lloule,Lloule
king_(snk),King(SNK)
saegusa_akina,三枝明那
death_stranding,死亡搁浅
head_pinned_down,按头
kofunami_nana,Kofunami_Nana
