kinoshita_hinata,木下日向
wuthering_heights_(identity)_(project_moon),呼啸山庄(人格)(月亮计划)
zun_(artist),ZUN(画师)
yukihana_lamy_(casual),雪花菈米(常服)
aiz_wallenstein,艾丝·华伦斯坦
lunafreya_nox_fleuret,露娜弗蕾亚·诺克斯·芙尔雷
hot_pants_(sbr),赫特·潘兹(SBR)
marciana_(nikke),马尔恰那(妮姬)
tenshi_kaiwai,天使界隈
suicide_squad,自杀小队
maburu_(lojyq1eur3e8bit),Maburu
poke_kid_(pokemon),宝可梦小孩
alligator,短吻鳄
starheart,Starheart
ibuki_douji_(swimsuit_berserker)_(fate),伊吹童子(泳装Berserker)(Fate)
holding_cable,拿着电缆
rapidash,烈焰马
choujin_x,超人X
guinaifen_(honkai:_star_rail),桂乃芬(崩坏：星穹铁道)
bitten_apple,咬过的苹果
sat-c,Sat-c
ribbed_swimsuit,罗纹泳衣
zipper_bikini,拉链比基尼
yuigahama_yui's_mother,由比滨结衣的母亲
spider_apple,蜘蛛苹果
globus_cruciger,十字圣球
after_rain,雨后
ushiromiya_kyrie,右代宫雾江
kiana_kaslana_(void_drifter),琪亚娜·卡斯兰娜(天穹游侠)
print_coat,印花外套
shimohara_sadako,下原定子
shirt_hold,抓衬衫
durandal_(umamusume),杜兰德尔(赛马娘)
pierre_bichelberger,Pierre_Bichelberger
kousaka_china,高坂千奈
gomashi_(goma),Gomashi
besmiled,Besmiled
xiangzi_box,Xiangzi_Box
textbook,教科书
medama_oyaji,眼球老爹
barleyshake,Barleyshake
dickfish_(fishismdick),Dickfish
unofficial_sailor_senshi_uniform,非官方水手战士制服
xephonia,Xephonia
black_delmo,Black_Delmo
dokuro_deluxe,Dokuro_Deluxe
cheating_(competitive),作弊(竞技)
bakusou_kyoudai_let's_&_go!!,四驱兄弟
takishima_asaka,滝岛朝香
goribote,Goribote
feena_fam_earthlight,菲娜·法姆·阿修莱特
tsuruga_school_uniform,敦贺校服
pito_(sh02327),Pito
x_anus,X菊花
hoshikuzu_witch_meruru,星尘小魔女梅露露
tsurumi_chiriko,鹤见知利子
gaap_(umineko),嘉浦(海猫)
teleport,传送
vanguard_princess,先锋公主
takayama_maria,高山玛利亚
chiya_(urara_meirochou),千矢(Urara迷路帖)
magatsuchi_shouta,真坂土翔太
shirono,Shirono
mochimako_(mushikera_hoi2),Mochimako
sarong_lift,掀沙龙裙
elaine_(pokemon),碧蓝
soyoong_jun,Soyoong_Jun
micosiva,Micosiva
yanlingjinshilihuahua,Yanlingjinshilihuahua
swedish_flag,瑞典国旗
herb,药草
shadow_chaser_(ragnarok_online),魅影追击者(仙境传说)
applying_pedicure,涂脚指甲油
finn_the_human,芬恩
chameleon,变色龙
lunala,露奈雅拉
toy_airplane,玩具飞机
hisuian_growlithe,洗翠卡蒂狗
haiba_09,Haiba_09
fine_(futagohime),法音
mario_kart_tour,马里奥赛车巡回赛
jikihatiman,Jikihatiman
niyon_(granblue_fantasy),妮欧(碧蓝幻想)
mirae_(closers),Mirae(封印者)
suyohara,Suyohara
santa_matsuri,Santa_Matsuri
hitsugaya_toushirou,日番谷冬狮郎
rakka_(haibane),落下
akizuki_shigure,Akizuki_Shigure
ryochapu,Ryochapu
taurus_(constellation),金牛座
kurikoma_komaru,Kurikoma_Komaru
toyosaki_shu,Toyosaki_Shu
kamui_(kill_la_kill),神衣(双斩少女)
nidoking,尼多王
amemori_sayo,雨森小夜
sai-go,Sai-go
brown_tunic,棕束腰外衣
twinpoo,Twinpoo
moon_stick_(sailor_moon),月之冕(美少女战士)
altair_(re:creators),阿尔泰尔(Re:CREATORS)
loremaster_(helltaker),Loremaster(Helltaker)
ohara_hiroki,Ohara_Hiroki
mutsutake,Mutsutake
hagane_soushi,Hagane_Soushi
fighting_miku_(project_voltage),格斗初音(Project_Voltage)
yuuzuki_(re'ef),Yuuzuki
kyoumachi_seika,精华为
niku-name,Niku-name
chiikawa,吉伊卡哇
fnc_(girls'_frontline),FNC(少女前线)
ootsuka_shin'ichirou,大冢真一郎
zundarepon,Zundarepon
delsaber,Delsaber
ridy_(ri_sui),Ridy
moruchi_(rinaka_moruchi),Moruchi
kannari,Kannari
kugui_kiyunemu,Kugui_Kiyunemu
sword_art_online:_unleashed_blading,刀剑神域：关键斗士
takahashi_kino,高桥吉诺
kyuuri_(miyako),Kyuuri
yamato_suzuran,大和铃兰
idolmaster_xenoglossia,偶像大师XENOGLOSSIA
riv_(rivleaf),Riv
artwhirl_mahou_gakuen_no_otome-tachi,Artwhirl
yabai_gorilla,Yabai_Gorilla
under_shot,仰视
military_rank_insignia,军衔
hitofutarai,Hitofutarai
suprii,Suprii
weapon_in_mouth,嘴咬武器
sunrise_(company),日升动画
hatchet_(axe),手斧
mirufui,Mirufui
sa-ya2,Sa-ya2
narwhal_(kemono_friends),独角鲸(兽娘动物园)
picnic_blanket,野餐垫
piyopoyo,Piyopoyo
tajima_yoshikazu,田岛义一
bamboo_memory_(umamusume),竹园飞翼(赛马娘)
alternate_body_fluid,替代体液
national_basketball_association,NBA
oshioshio,Oshioshio
majora_(entity),穆修拉
none_(kameko227),None
kuriboh,栗子球
stmast,Stmast
aoi_suzu,葵铃
carina_(xiaowoo),Carina
kubiwa_(kutan),Kubiwa
uro_(urotanc),Uro
stuffed_orca,虎鲸玩偶
axsen,Axsen
dedue_molinaro,杜笃
back_hair,后背毛发
nipple_tweak_through_clothes,隔衣捏乳头
kangetsu_(fhalei),Kangetsu
quiet_(metal_gear),静静(合金装备)
fediel_(granblue_fantasy),费迪尔(碧蓝幻想)
ulquiorra_cifer,乌尔奇奥拉·西法
aida_kensuke,相田剑介
meltryllis_(third_ascension)_(fate),梅尔特莉莉丝(三破)(Fate)
goriate,Goriate
gavial_the_invincible_(arknights),百炼嘉维尔(明日方舟)
helena_blavatsky_(swimsuit_archer)_(fate),海伦娜·布拉瓦茨基(泳装Archer)(Fate)
shiina_mahiru_(otonari_no_tenshi-sama),椎名真昼(关于邻家的天使大人)
audible_internal_cumshot,可听见的体内射精
igglybuff,宝宝丁
elizabeth_tower,伊丽莎白塔
haneramu,Haneramu
special_cat,Special_Cat
anyannko,Anyannko
kitazinger,Kitazinger
bakuya,Bakuya
sch,Sch
toriatto_gununu,Toriatto_Gununu
nome_(nnoommee),Nome
chamupei,Chamupei
kronie_(ouro_kronii),Kronie
magni_dezmond,Magni_Dezmond
pensuke,Pensuke
spade_earrings,黑桃耳环
ursula_charistes,Ursula_Charistes
hana_(fire_emblem),花(火焰纹章)
amagi_kai_(kancolle),天城改(舰C)
iya_na_kao_sare_nagara_opantsu_misete_moraitai,想看一脸嫌弃的胖次
ultraman,奥特曼
orenji_(orenjipiiru),Orenji
cure_rouge,Cure_Rouge
steenee,甜舞妮
flour,面粉
knight_(ragnarok_online),骑士(仙境传说)
liu_association_(identity)_(project_moon),六协(人格)(月亮计划)
nipple_tassels,乳头流苏
spike_piercing,尖刺穿孔
torako_(toramaru),Torako
tedain,Tedain
floating_crown,漂浮皇冠
implied_death,暗示死亡
mma_gloves,MMA手套
two-tone_choker,双色项圈
multiple_moons,多重月亮
kaifei_(kaifei_29),Kaifei
yun_(dust-i1),Yun
arisu_kazumi,Arisu_Kazumi
eip_(pepai),Eip
lectern,讲台
bodysuit_pull,拉连体衣
maya_g,Maya_G
fierce_deity,鬼神
toucan,巨嘴鸟
orimoto_rika,祈本里香
misaki_high_school_uniform,美咲高中校服
ran_nagisa,兰·那其萨
ogre_(illustogre),Ogre
seno_(senohime),Seno
kosaka_yukiho,高坂雪穗
ankimo_(tokino_sora),Ankimo
super-shorty_(girls'_frontline),Super-Shorty(少女前线)
holding_crayon,拿着蜡笔
hide_(hideout),Hide
rangycrow,Rangycrow
gibson_brands_inc,吉普森吉他公司
turewindwalker,Turewindwalker
kukka,Kukka
two-tone_socks,双色袜
okura-chan_(at_nya5),Okura-chan
fujibayashi_sheena,藤林椎名
sei_shounagon_(swimsuit_berserker)_(fate),清少纳言(泳装Berserker)(Fate)
hisayuki_hirokazu,久行宏和
alien_(1979),异形(1979)
kaela_kovalskia_(1st_costume),Kaela_Kovalskia(第一套服装)
pal_(creature),帕鲁
tsukioka_tsukiho,月冈月穗
macross_frontier:_sayonara_no_tsubasa,超时空要塞F：恋离飞翼
s-now,S-now
firewood,柴火
neet_co.,NEET_Co.
fortune_arterial,命运脉动
hooded_leotard,连帽连体衣
oka_mochi,Oka_Mochi
matsu-sensei,Matsu-sensei
benizuwai,Benizuwai
arrow_in_head,头插箭
sentimental_graffiti,青涩宝贝
junkrat_(overwatch),狂鼠(守望先锋)
tsubasa_chronicle,翼年代记
omuretsu,Omuretsu
stoic_seraphim,Stoic_Seraphim
yugaa,Yugaa
window_fog,窗户雾气
q-bee,Q-Bee
hie_(hiememiko),Hie
